run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1676,1676,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1676,1676,0,1.0,227,7.361
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:30,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1676,1676,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:31,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.348
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:32,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1673,1673,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1673,1673,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1673,1673,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1673,1673,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1675,1675,0,1.0,227,7.336
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:33,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1673,1673,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1675,1675,0,1.0,227,7.331
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:47:34,1675,1675,0,1.0,227,7.331
